code_demarche,annee_visite,mois_visite,date_deb_visite,date_de_decision,decision_de_la_cces
30001,2021,09-Septembre,21/09/2021,10/02/2022,Certifié
30002,2023,01-Janvier,24/01/2023,08/03/2023,Certifié avec mention
30003,2022,01-Janvier,19/01/2022,31/03/2022,Certifié
30004,2021,09-Septembre,28/09/2021,14/12/2021,Certifié
30005,2021,11-Novembre,29/11/2021,31/03/2022,Certifié
30007,2022,02-Février,21/02/2022,15/06/2022,Certifié
30008,2022,04-Avril,04/04/2022,05/07/2022,Certifié
30009,2022,02-Février,15/02/2022,28/04/2022,Certifié
30010,2023,09-Septembre,25/09/2023,10/01/2024,Certifié avec mention
30011,2024,12-Décembre,03/12/2024,12/03/2025,Certifié sous conditions
30012,2023,02-Février,07/02/2023,06/06/2023,Certifié
30013,2024,01-Janvier,23/01/2024,17/04/2024,Certifié avec mention
30015,2022,01-Janvier,31/01/2022,14/04/2022,Certifié avec mention
30016,2023,04-Avril,03/04/2023,21/06/2023,Certifié
30017,2025,03-Mars,18/03/2025,11/06/2025,Certifié
30018,2025,06-Juin,17/06/2025,03/12/2025,Certifié
30019,2024,09-Septembre,17/09/2024,26/06/2025,Non certifié
30020,2021,09-Septembre,28/09/2021,13/07/2022,Certifié
30021,2025,02-Février,04/02/2025,14/05/2025,Certifié sous conditions
30022,2025,04-Avril,01/04/2025,02/07/2025,Certifié
30023,2021,06-Juin,08/06/2021,26/10/2021,Certifié avec mention
30024,2024,04-Avril,23/04/2024,04/09/2024,Certifié sous conditions
30025,2023,09-Septembre,04/09/2023,19/09/2024,Non certifié
30026,2023,04-Avril,24/04/2023,06/09/2023,Certifié
30028,2022,09-Septembre,26/09/2022,07/02/2023,Certifié
30029,2023,11-Novembre,20/11/2023,06/03/2024,Certifié
30030,2025,01-Janvier,28/01/2025,14/05/2025,Certifié
30031,2025,04-Avril,01/04/2025,10/09/2025,Certifié
30032,2025,02-Février,04/02/2025,28/05/2025,Certifié
30033,2021,06-Juin,15/06/2021,23/11/2021,Certifié avec mention
30034,2022,09-Septembre,20/09/2022,11/05/2023,Certifié
30035,2024,10-Octobre,08/10/2024,11/06/2025,Certifié sous conditions
30036,2021,09-Septembre,14/09/2021,06/10/2022,Certifié
