finess,rs_finess,finess_geo,rs_finess_geo,region,type,participation,depot,nb_rep_score_all_ssr_ajust,score_all_ssr_ajust,classement,evolution,score_accueil_ssr_ajust,nb_rep_score_accueil_ssr_ajust,score_pec_ssr_ajust,nb_rep_score_pec_ssr_ajust,score_lieu_ssr_ajust,nb_rep_score_lieu_ssr_ajust,score_repas_ssr_ajust,nb_rep_score_repas_ssr_ajust,score_sortie_ssr_ajust,nb_rep_score_sortie_ssr_ajust,score_all_ssr_ajust_dp,taux_reco_brut,nb_reco_brut,score_ajust_esatis_region,score_ajust_esatis_type
010780062,CH DOCTEUR RECAMIER,010000032,CH BUGEY SUD,Auvergne-Rhône-Alpes,Centre Hospitaliers,Facultatif,Oui,,,DI,,,,,,,,,,,,,,,,
010780112,CH DU PAYS DE GEX,010000081,CH DU PAYS DE GEX,Auvergne-Rhône-Alpes,Centre Hospitaliers,Facultatif,Oui,,,DI,,,,,,,,,,,,,,,,
010007987,CH PUBLIC HAUTEVILLE,010000180,CH PUBLIC HAUTEVILLE - UNITE ESPERANCE,Auvergne-Rhône-Alpes,Centre Hospitaliers,Facultatif,Oui,65,81.46,A,Stable,91.18,65,84.76,65,75.24,65,79.62,65,76.0,65,81.0,81.5,65,76.82,78.29
010007987,CH PUBLIC HAUTEVILLE,010000198,CH PUBLIC HAUTEVILLE - UNITE INTERDEPT,Auvergne-Rhône-Alpes,Centre Hospitaliers,Obligatoire,Oui,203,80.05,A,Stable,88.52,203,83.54,203,79.02,203,68.35,203,74.56,203,80.0,81.7,202,76.82,78.29
010007987,CH PUBLIC HAUTEVILLE,010000214,CH PUBLIC HAUTEVILLE - UNITE ALBARINE,Auvergne-Rhône-Alpes,Centre Hospitaliers,Obligatoire,Oui,68,82.46,A,Stable,89.09,68,84.39,68,85.1,68,77.22,68,73.54,68,82.0,77.6,67,76.82,78.29
010002129,CR LES ARBELLES,010002129,CLINIQUE LES ARBELLES,Auvergne-Rhône-Alpes,Etablissements de santé privés à but lucratif,Facultatif,Oui,87,72.74,C,Stable,80.87,87,77.3,87,75.44,87,53.79,87,63.91,87,72.0,31.4,86,76.82,74.3
010008407,CH DU HAUT BUGEY,010005239,CH DU HAUT BUGEY - GEOVREISSET,Auvergne-Rhône-Alpes,Centre Hospitaliers,Facultatif,Oui,,,DI,,,,,,,,,,,,,,,,
010008852,CRF L'ORCET SITE DU CH DE FLEYRIAT,010008852,CRF L'ORCET SITE DU CH DE FLEYRIAT,Auvergne-Rhône-Alpes,Etablissements de santé privés à but non lucratif,Facultatif,Oui,59,75.12,B,Stable,83.48,59,79.72,59,75.86,59,54.45,59,70.06,59,75.0,61.0,59,76.82,78.23
010780054,CH DE BOURG EN BRESSE FLEYRIAT,010009314,SSR HOTEL DIEU DE FLEYRIAT,Auvergne-Rhône-Alpes,Centre Hospitaliers,Facultatif,Oui,,,DI,,,,,,,,,,,,,,,,
010011641,CLINIQUE DU SOUFFLE LE PONTET,010011641,CLINIQUE DU SOUFFLE LE PONTET,Auvergne-Rhône-Alpes,Etablissements de santé privés à but non lucratif,Obligatoire,Oui,135,79.06,A,Stable,87.24,135,80.31,135,83.45,135,68.6,135,73.24,135,79.0,58.5,135,76.82,78.23
010780278,CRF MANGINI,010780278,CENTRE DE REEDUCATION MANGINI,Auvergne-Rhône-Alpes,Etablissements de santé privés à but non lucratif,Facultatif,Oui,41,76.97,A,Non calculable,82.38,41,79.49,41,78.64,41,71.25,41,68.04,41,77.0,61.0,41,76.82,78.23
010780476,CENTRE SSR READAPT ADOLESCENTS CHANAY,010780476,CENTRE SSR READAPT ADOLESCENTS CHANAY,Auvergne-Rhône-Alpes,Etablissements de santé privés à but non lucratif,Facultatif,Oui,,,DI,,,,,,,,,,,,,,,,
010780799,CRF CHATEAU D'ANGEVILLE,010780799,CTRE DE MPR CHATEAU D'ANGEVILLE,Auvergne-Rhône-Alpes,Etablissements de santé privés à but non lucratif,Facultatif,Oui,43,73.07,B,Non calculable,76.49,43,75.64,43,79.93,43,63.65,43,60.93,43,73.0,62.8,43,76.82,78.23
020000022,CENTRE HOSPITALIER DE GUISE,020000089,CH GUISE,Hauts de France,Centre Hospitaliers,Facultatif,Oui,,,DI,,,,,,,,,,,,,,,,
020000303,LA RENAISSANCE SANITAIRE,020000303,HOPITAL VILLIERS SAINT DENIS,Hauts de France,Etablissements de santé privés à but non lucratif,Obligatoire,Oui,61,77.42,A,Stable,84.41,61,80.46,61,79.27,61,69.21,61,67.85,61,77.0,65.6,61,78.07,78.23
020000261,CENTRE HOSPITALIER DE SOISSONS,020000519,CH SOISSONS,Hauts de France,Centre Hospitaliers,Facultatif,Oui,,,DI,,,,,,,,,,,,,,,,
020000287,CENTRE HOSPITALIER DE CHAUNY,020000535,CH CHAUNY,Hauts de France,Centre Hospitaliers,Facultatif,Oui,,,DI,,,,,,,,,,,,,,,,
020003620,SSR JACQUES FICHEUX SAINT-GOBAIN,020000915,SSR JACQUES FICHEUX SAINT-GOBAIN,Hauts de France,Centre Hospitaliers,Obligatoire,Oui,53,74.36,B,Diminution,81.17,53,76.95,53,75.83,53,70.53,53,63.5,53,74.0,50.9,53,78.07,78.29
020004495,CENTRE HOSPITALIER D'HIRSON,020001087,CH HIRSON,Hauts de France,Centre Hospitaliers,Facultatif,Oui,,,DI,,,,,,,,,,,,,,,,
020000253,CH DE LAON,020003877,SSR CH LAON,Hauts de France,Centre Hospitaliers,Facultatif,Oui,,,DI,,,,,,,,,,,,,,,,
030780092,CENTRE HOSPITALIER MOULINS YZEURE,030000061,CH DE MOULINS,Auvergne-Rhône-Alpes,Centre Hospitaliers,Facultatif,Oui,,,DI,,,,,,,,,,,,,,,,
