metric_id,vel_id,score_all_ssr_ajust,score_ajust_esatis_region,score_accueil_ssr_ajust,score_pec_ssr_ajust,score_lieu_ssr_ajust,score_repas_ssr_ajust,score_sortie_ssr_ajust,classement,evolution,participation,depot,annee,date_created,source
9a15f399-e341-4beb-99e4-4da7b82989cb,26661f2a-d546-4c5d-88fe-27c54a7598c3,70.85,76.02,78.47,73.03,75.52,58.03,63.17,C,Stable,Obligatoire,Oui,2023,,IQSS
9a15f399-e341-4beb-99e4-4da7b82989cb,4a5b1491-c3e2-456d-85fc-99019d4c36ca,70.85,76.02,78.47,73.03,75.52,58.03,63.17,C,Stable,Obligatoire,Oui,2023,,IQSS
c5e6aa4d-cbdc-48ea-b88d-84069ff2c7ed,a2517e39-2a01-41a0-abed-39d67542eeb8,73.2,76.02,79.4,77.87,73.09,58.3,65.92,B,Non calculable,Facultatif,Oui,2023,,IQSS
c5e6aa4d-cbdc-48ea-b88d-84069ff2c7ed,beff75f7-7ce3-4177-95d1-73bd97f14108,73.2,76.02,79.4,77.87,73.09,58.3,65.92,B,Non calculable,Facultatif,Oui,2023,,IQSS
cf28295f-aa06-41ef-b763-b2d129090d1c,96e74d2d-618c-4e39-b383-3ab7ddda215d,78.83,76.02,87.4,81.58,82.04,65.67,71.91,A,Amélioration,Facultatif,Oui,2023,,IQSS
cf28295f-aa06-41ef-b763-b2d129090d1c,e92754ba-4612-4c2b-8cf0-379288bf1783,78.83,76.02,87.4,81.58,82.04,65.67,71.91,A,Amélioration,Facultatif,Oui,2023,,IQSS
bd86bd00-d39b-4f2c-86df-51e05fe39322,db88ba3f-2aa9-4e7b-9f4e-7dbe2024b42b,,,,,,,,DI,,Facultatif,Oui,2023,,IQSS
bd86bd00-d39b-4f2c-86df-51e05fe39322,f890740d-3dc3-430c-8ed0-1c779537f23d,,,,,,,,DI,,Facultatif,Oui,2023,,IQSS
3dfc3ff4-47f6-40e0-a077-e00ed5459819,c8585921-3d4c-4ff1-a81c-fe6470a75867,,,,,,,,DI,,Facultatif,Oui,2023,,IQSS
3dfc3ff4-47f6-40e0-a077-e00ed5459819,19372fd2-94ae-40f1-8fa0-d98ea4fc2735,,,,,,,,DI,,Facultatif,Oui,2023,,IQSS
c900c30f-7cb9-453a-aa49-82bf98d6e639,b2dced17-9b49-47d3-a319-6617d89ee730,,,,,,,,DI,,Facultatif,Oui,2023,,IQSS
c900c30f-7cb9-453a-aa49-82bf98d6e639,d629626a-1944-4c5c-afb8-aa3f1cbde09e,,,,,,,,DI,,Facultatif,Oui,2023,,IQSS
606528c4-c27a-480b-8544-fffa57d3b462,df5384a4-26bd-479b-91d7-70058d49831b,81.14,77.66,87.81,84.32,82.61,71.96,72.4,A,Amélioration,Obligatoire,Oui,2023,,IQSS
606528c4-c27a-480b-8544-fffa57d3b462,a95ef79c-5dde-4562-b857-f616178eb955,81.14,77.66,87.81,84.32,82.61,71.96,72.4,A,Amélioration,Obligatoire,Oui,2023,,IQSS
9c6b949e-d878-48b6-a691-e189abe5d971,2f9c1e90-1115-4a74-a5c9-379fd353e6bf,,,,,,,,DI,,Facultatif,Oui,2023,,IQSS
9c6b949e-d878-48b6-a691-e189abe5d971,2d0caf89-95f1-43f1-b3ef-3d7f26fa15af,,,,,,,,DI,,Facultatif,Oui,2023,,IQSS
0f824780-7017-4e40-b1a4-a132ebbea5df,172348d6-a4f8-406a-bbc2-0f24067270b1,,,,,,,,DI,,Facultatif,Oui,2023,,IQSS
0f824780-7017-4e40-b1a4-a132ebbea5df,9d578c8d-f97d-4e70-8072-19837a7cd6dd,,,,,,,,DI,,Facultatif,Oui,2023,,IQSS
081f8c61-a78b-4f8d-be14-ff128dcd8459,48388cac-9713-4baf-a3c9-372e42a40193,,,,,,,,DI,,Facultatif,Oui,2023,,IQSS
081f8c61-a78b-4f8d-be14-ff128dcd8459,e18b3626-de20-4c72-b46b-54a926c41c9b,,,,,,,,DI,,Facultatif,Oui,2023,,IQSS
31f6a176-0fcc-46b2-8f25-dc8d56b63dd2,41fd8e84-d0cb-4daf-85f3-5368676aef0b,68.42,73.79,76.41,73.75,71.18,41.85,63.46,D,Diminution,Facultatif,Oui,2023,,IQSS
31f6a176-0fcc-46b2-8f25-dc8d56b63dd2,62af0585-7c5a-4b53-a64a-94ee51d780b2,68.42,73.79,76.41,73.75,71.18,41.85,63.46,D,Diminution,Facultatif,Oui,2023,,IQSS
c503c7ec-4614-4f9d-b2d1-b3ecfd0361f7,acc84843-7391-4e0b-8f69-9c97df305886,76.53,73.79,84.18,80.67,71.78,67.69,71.37,B,Stable,Facultatif,Oui,2023,,IQSS
c503c7ec-4614-4f9d-b2d1-b3ecfd0361f7,c2a0163b-5977-40eb-b32d-0aea482d4a82,76.53,73.79,84.18,80.67,71.78,67.69,71.37,B,Stable,Facultatif,Oui,2023,,IQSS
4395febc-e992-4d6a-bebe-e63959528b40,3f5bd232-48a6-4a0b-8ba5-315355d4c802,,,,,,,,DI,,Facultatif,Oui,2023,,IQSS
4395febc-e992-4d6a-bebe-e63959528b40,7899c969-fb2c-4428-b5fd-8d5b334974b5,,,,,,,,DI,,Facultatif,Oui,2023,,IQSS
b42b1419-84e4-49c8-80ae-205314dde09e,af882ff6-d29c-4473-9096-efcd6a747b8c,83.03,73.79,90.2,85.48,85.15,72.69,76.88,A,Stable,Facultatif,Oui,2023,,IQSS
b42b1419-84e4-49c8-80ae-205314dde09e,f667ae14-cc62-471b-850d-645058d1e75e,83.03,73.79,90.2,85.48,85.15,72.69,76.88,A,Stable,Facultatif,Oui,2023,,IQSS
5e4aa955-8813-4589-99c1-458fce14cb66,c4ddd4f8-3094-414f-9fea-4a1eefc8fd68,,,,,,,,DI,,Facultatif,Oui,2023,,IQSS
5e4aa955-8813-4589-99c1-458fce14cb66,23176e8a-4d3c-44b9-abd8-1414e8ea6798,,,,,,,,DI,,Facultatif,Oui,2023,,IQSS
fe376ae6-c696-41fc-b683-e312bef988d4,051a137e-fd75-4e03-8a75-9988c2376033,,,,,,,,DI,,Facultatif,Oui,2023,,IQSS
fe376ae6-c696-41fc-b683-e312bef988d4,14421afe-5533-4a85-80a4-16a6ebb30d28,,,,,,,,DI,,Facultatif,Oui,2023,,IQSS
9f043050-2c55-49d7-967b-48d34c03c7e9,188cca0e-05f8-4b9e-9d56-446527d0f4fc,78.29,73.79,83.88,82.0,75.5,70.73,72.28,A,Stable,Facultatif,Oui,2023,,IQSS
9f043050-2c55-49d7-967b-48d34c03c7e9,2b41fe9b-1227-4a74-8cba-0acee345989c,78.29,73.79,83.88,82.0,75.5,70.73,72.28,A,Stable,Facultatif,Oui,2023,,IQSS
ca5b92c1-511e-4e31-8c95-2c408f40900a,317fa94c-c730-46d3-8f39-8c9d468b9d78,80.24,73.79,88.17,82.8,80.76,67.09,76.92,A,Stable,Obligatoire,Oui,2023,,IQSS
ca5b92c1-511e-4e31-8c95-2c408f40900a,bea219ee-3cbb-4639-a005-ae2a1e45bc70,80.24,73.79,88.17,82.8,80.76,67.09,76.92,A,Stable,Obligatoire,Oui,2023,,IQSS
18c8e953-3d11-4166-ae4f-3b2f37b1b62c,470cd720-4cce-4159-be71-1f753917dee6,,,,,,,,DI,,Facultatif,Oui,2023,,IQSS
18c8e953-3d11-4166-ae4f-3b2f37b1b62c,b10d4056-fbe2-4a09-88ce-677baff7500c,,,,,,,,DI,,Facultatif,Oui,2023,,IQSS
cda6e1bd-4145-41a7-88d6-a9757331ba8c,37511c66-4640-4630-a89f-1a390f3b926a,,,,,,,,DI,,Facultatif,Oui,2023,,IQSS
cda6e1bd-4145-41a7-88d6-a9757331ba8c,3afdf7ec-ed26-4772-91a9-d7c82a28390a,,,,,,,,DI,,Facultatif,Oui,2023,,IQSS
71b2ac1b-ada6-43b0-a488-c7118e888dd6,e46bef7c-cf11-44c8-9a86-d7a9576d4b0c,76.67,73.79,84.41,80.96,79.19,54.75,72.32,A,Non calculable,Obligatoire,Oui,2023,,IQSS
71b2ac1b-ada6-43b0-a488-c7118e888dd6,21eb7c77-cdf1-4316-bb77-d92ca69e3e3b,76.67,73.79,84.41,80.96,79.19,54.75,72.32,A,Non calculable,Obligatoire,Oui,2023,,IQSS
d4225022-cf5c-49c1-b2b5-44af1dd0eab8,d00ea52d-fea9-4d74-b871-4e6619c64ebb,,,,,,,,DI,,Facultatif,Oui,2023,,IQSS
d4225022-cf5c-49c1-b2b5-44af1dd0eab8,82a5fada-6cfa-4960-aee9-1cf90ca7a312,,,,,,,,DI,,Facultatif,Oui,2023,,IQSS
60f38e1d-6d3b-4c9d-be69-d8200b9f4c47,827c1851-f0b2-432c-90a6-9b5b87d620df,71.29,73.79,79.33,73.95,76.26,64.11,58.25,C,Stable,Facultatif,Oui,2023,,IQSS
60f38e1d-6d3b-4c9d-be69-d8200b9f4c47,e66303c5-3aef-4bcc-a15f-45474d27f246,71.29,73.79,79.33,73.95,76.26,64.11,58.25,C,Stable,Facultatif,Oui,2023,,IQSS
9ac9669f-aff9-4be4-9955-3bc34539a2d1,2a861d7d-5e70-49ef-b133-fec27c11df57,80.89,73.79,88.19,83.21,84.12,71.55,73.88,A,Amélioration,Obligatoire,Oui,2023,,IQSS
9ac9669f-aff9-4be4-9955-3bc34539a2d1,cd40b90c-853a-4eb3-be6b-b6d23422538f,80.89,73.79,88.19,83.21,84.12,71.55,73.88,A,Amélioration,Obligatoire,Oui,2023,,IQSS
52f1d508-6998-4af2-8f30-e0497dda09a0,41054bd2-78ea-4efc-b25f-114e31f43321,,,,,,,,DI,,Facultatif,Oui,2023,,IQSS
52f1d508-6998-4af2-8f30-e0497dda09a0,27cb87f9-4d52-4b1d-bad9-0a4f6f6da8fc,,,,,,,,DI,,Facultatif,Oui,2023,,IQSS
a50976f5-d105-4ed2-9ee6-b44549a87f85,534b21f7-e73e-476f-8a09-721a1c37e5dd,73.09,73.79,82.38,75.55,78.48,58.62,64.46,B,Amélioration,Facultatif,Oui,2023,,IQSS
a50976f5-d105-4ed2-9ee6-b44549a87f85,6c3f759a-6ff4-40ee-b9cd-21a754c0bc89,73.09,73.79,82.38,75.55,78.48,58.62,64.46,B,Amélioration,Facultatif,Oui,2023,,IQSS
63447ce7-1505-43b1-87fb-4ab8153b9f42,28c3f5f5-9513-4474-b430-847a0c18e6bf,,,,,,,,DI,,Facultatif,Oui,2023,,IQSS
63447ce7-1505-43b1-87fb-4ab8153b9f42,92e58cee-6d88-4316-b35e-dcaa716d3d4b,,,,,,,,DI,,Facultatif,Oui,2023,,IQSS
2165947f-a8f5-4e24-8eeb-a986083a1dbb,84d93848-5744-4179-8941-95bd471ca273,76.59,73.79,82.02,80.83,77.98,67.91,64.52,B,Amélioration,Obligatoire,Oui,2023,,IQSS
2165947f-a8f5-4e24-8eeb-a986083a1dbb,93da0f85-b062-4b5f-ad6b-df1f1f195cff,76.59,73.79,82.02,80.83,77.98,67.91,64.52,B,Amélioration,Obligatoire,Oui,2023,,IQSS
28825a28-75cc-4de6-b489-7a58e3fc296e,7ca8bbc4-cb32-4922-8ed3-577ad3d416c3,,,,,,,,DI,,Facultatif,Oui,2023,,IQSS
28825a28-75cc-4de6-b489-7a58e3fc296e,35537ed0-49c0-4980-9b40-e64fb233848c,,,,,,,,DI,,Facultatif,Oui,2023,,IQSS
e9a10071-5611-46d3-8256-fd9d7624977b,9f14a1c5-d209-4d45-beca-62fff8f4db5d,,,,,,,,DI,,Facultatif,Oui,2023,,IQSS
e9a10071-5611-46d3-8256-fd9d7624977b,2d24c16e-e266-49fb-a8d4-9b14e2f2c8aa,,,,,,,,DI,,Facultatif,Oui,2023,,IQSS
0e0f6c89-0581-46d9-8e63-ddae6462968d,17ceee72-4798-446c-898d-9ff0a4103d35,58.05,73.79,62.84,59.82,63.43,55.03,47.35,D,Non calculable,Facultatif,Oui,2023,,IQSS
0e0f6c89-0581-46d9-8e63-ddae6462968d,a3008a97-07a4-4887-b523-097ef6892ae2,58.05,73.79,62.84,59.82,63.43,55.03,47.35,D,Non calculable,Facultatif,Oui,2023,,IQSS
4ca19e9b-23b0-4619-8657-387e191155b8,f8b3f806-3c9e-48a7-8187-63ae43d4b5ae,68.08,73.79,70.04,70.41,72.13,54.63,63.92,D,Non calculable,Facultatif,Oui,2023,,IQSS
4ca19e9b-23b0-4619-8657-387e191155b8,1135cb88-eb53-492e-a3f4-36167fa7ca52,68.08,73.79,70.04,70.41,72.13,54.63,63.92,D,Non calculable,Facultatif,Oui,2023,,IQSS
ba024162-0b25-4966-8268-9dcc2a361cb5,7ddf23a8-7d6f-4af6-878b-aa916b2c8d91,71.61,73.79,75.95,78.47,65.83,58.83,63.41,C,Non calculable,Facultatif,Oui,2023,,IQSS
ba024162-0b25-4966-8268-9dcc2a361cb5,1cd16565-fd2c-4f2c-83e8-4962587332bb,71.61,73.79,75.95,78.47,65.83,58.83,63.41,C,Non calculable,Facultatif,Oui,2023,,IQSS
b379fd3c-04c8-4a0b-86d6-de0f42830005,c578b04d-15e0-4fd9-9dac-d48f3f898d86,77.83,73.79,93.14,82.03,67.35,79.9,67.5,A,Amélioration,Facultatif,Oui,2023,,IQSS
b379fd3c-04c8-4a0b-86d6-de0f42830005,bcb49d74-4ba3-415c-b53e-8b3b340cd921,77.83,73.79,93.14,82.03,67.35,79.9,67.5,A,Amélioration,Facultatif,Oui,2023,,IQSS
9a1100c4-6f9b-4551-996a-5a97797feba8,a132064f-50d3-4ec1-ae64-b26cba5d03cb,69.63,73.79,77.93,72.0,77.61,50.43,62.12,C,Amélioration,Facultatif,Oui,2023,,IQSS
9a1100c4-6f9b-4551-996a-5a97797feba8,052804f3-1fc8-4b4a-b623-4a1095b41014,69.63,73.79,77.93,72.0,77.61,50.43,62.12,C,Amélioration,Facultatif,Oui,2023,,IQSS
61f0969a-8636-4a8c-b544-1af993f1a413,82d059e9-9eeb-4214-bf56-09d3e3234083,65.56,73.79,69.22,67.02,72.2,53.61,59.98,D,Stable,Obligatoire,Oui,2023,,IQSS
61f0969a-8636-4a8c-b544-1af993f1a413,3f193d72-7c30-4b4a-a8c3-6d0ed9146ca5,65.56,73.79,69.22,67.02,72.2,53.61,59.98,D,Stable,Obligatoire,Oui,2023,,IQSS
5fb94823-693c-4e2a-84c7-d66544408f54,21c7ddca-b160-4b7e-8627-6d442230edb5,67.76,73.79,71.5,67.52,77.22,61.59,60.11,D,Diminution,Obligatoire,Oui,2023,,IQSS
5fb94823-693c-4e2a-84c7-d66544408f54,64ba2d1c-6686-4dec-8309-35877dea0de2,67.76,73.79,71.5,67.52,77.22,61.59,60.11,D,Diminution,Obligatoire,Oui,2023,,IQSS
48561fc3-b7d7-4a12-adc7-b7e6f5fb82f1,5895abd0-153f-453a-9003-a17b0a67d272,72.63,73.79,79.37,77.17,67.08,67.19,65.09,C,Amélioration,Obligatoire,Oui,2023,,IQSS
