"code_demarche","FINESS_EJ","FINESS_EG","RS_eg","Site_Principal"
30001,350000402,350002176,"CLINIQUE DE L'ESPERANCE","True"
30002,340000272,340024314,"CLINIQUE SAINT JEAN SUD DE FRANCE","True"
30003,350002291,350000410,"CENTRE HOSPITALIER DE JANZE","True"
30004,530000249,530000124,"CLINIQUE NOTRE DAME DE PRITZ","True"
30004,530000249,530010438,"CENTRE MEDIPSY - CLINIQUE NOTRE DAME DE PRITZ","False"
30005,490000031,490000049,"CHU D'ANGERS - SITE LARREY","True"
30005,490000031,490008604,"CHU D'ANGERS - SITE SAINT NICOLAS","False"
30005,490000031,490529005,"CHU D'ANGERS - BATIMENT TERRE ET MAINE","False"
30007,680001179,680000866,"CH DE ROUFFACH-HÔPITAL DE JOUR DE PSYCHIATRIE DE L'ÂGE AVANCÉ","False"
30007,680001179,680000874,"CENTRE HOSPITALIER DE ROUFFACH","True"
30007,680001179,680006368,"CH DE ROUFFACH-HOPITAL DE JOUR","False"
30007,680001179,680006418,"CH DE ROUFFACH-HOPITAL DE JOUR ADULTE","False"
30007,680001179,680006459,"CH DE ROUFFACH-HOPITAL DE JOUR ADULTE","False"
30007,680001179,680006509,"CH DE ROUFFACH-HOPITAL DE JOUR ENFANTS","False"
30007,680001179,680006558,"CH DE ROUFFACH-HOPITAL DE JOUR ENFANTS","False"
30007,680001179,680006608,"CH DE ROUFFACH-APPARTEMENT THERAPEUTIQUE DE ROUFFACH","False"
30007,680001179,680006699,"CH DE ROUFFACH-APPARTEMENT THERAPEUTIQUE DE COLMAR 68G03","False"
30007,680001179,680006749,"APPARTEMENT THERAPEUTIQUE DE THANN 68G05","False"
30007,680001179,680017878,"HDJ PFASTATT 68 G04","False"
30007,680001179,680017886,"HDJ COLMAR ADULTES","False"
30007,680001179,680019841,"HOPITAL DE JOUR GUEBWILLER 68 G CH ROUFFACH","False"
30008,780001236,780000311,"CHI DE POISSY SAINT-GERMAIN - SITE DE POISSY","True"
30008,780001236,780000337,"CHI DE POISSY SAINT-GERMAIN - SITE DE SAINT GERMAIN","False"
30008,780001236,780011698,"CHI DE POISSY SAINT-GERMAIN - HOPITAL DE JOUR MAISON CRAPOTTE","False"
30008,780001236,780011938,"CHI DE POISSY SAINT-GERMAIN - HOPITAL DE JOUR ET CMPI LA SOURIS VERTE","False"
30008,780001236,780022497,"CHI DE POISSY SAINT-GERMAIN - CMP","False"
30008,780001236,780022505,"CHI DE POISSY SAINT-GERMAIN - CMPI","False"
