metric_id,vel_id,score_all_ssr_ajust,score_ajust_esatis_region,score_accueil_ssr_ajust,score_pec_ssr_ajust,score_lieu_ssr_ajust,score_repas_ssr_ajust,score_sortie_ssr_ajust,classement,evolution,participation,depot,annee,date_created,source
bc7fff44-ec49-403e-a08b-531b18509711,f322fc95-6d91-4c41-9842-bfaeb1f56402,72.74,76.82,80.87,77.3,75.44,53.79,63.91,C,Stable,Facultatif,Oui,2024,,IQSS
bc7fff44-ec49-403e-a08b-531b18509711,70930eea-94d8-4662-a2f5-111efa8d6627,72.74,76.82,80.87,77.3,75.44,53.79,63.91,C,Stable,Facultatif,Oui,2024,,IQSS
f216dd81-9d24-4ee8-b68b-ec2e7abef408,42fe414f-2547-4cf6-8d84-fb34a35a4bbe,75.12,76.82,83.48,79.72,75.86,54.45,70.06,B,Stable,Facultatif,Oui,2024,,IQSS
f216dd81-9d24-4ee8-b68b-ec2e7abef408,4cd7a19f-c483-4b1b-ba06-a2cb57233c57,75.12,76.82,83.48,79.72,75.86,54.45,70.06,B,Stable,Facultatif,Oui,2024,,IQSS
bc9bdbc4-d93a-46df-b75c-63060bdc9c09,a5f473a4-ae55-455f-9527-8480beaf3139,79.06,76.82,87.24,80.31,83.45,68.6,73.24,A,Stable,Obligatoire,Oui,2024,,IQSS
bc9bdbc4-d93a-46df-b75c-63060bdc9c09,f0721689-43ba-4491-b1ba-db94fa89c55e,79.06,76.82,87.24,80.31,83.45,68.6,73.24,A,Stable,Obligatoire,Oui,2024,,IQSS
2a4c6d25-8851-4482-9903-44adbd72d443,102ca913-6eb3-42f1-86df-02b4b7600b6e,76.97,76.82,82.38,79.49,78.64,71.25,68.04,A,Non calculable,Facultatif,Oui,2024,,IQSS
2a4c6d25-8851-4482-9903-44adbd72d443,2819057b-bc67-4096-9b74-813068673911,76.97,76.82,82.38,79.49,78.64,71.25,68.04,A,Non calculable,Facultatif,Oui,2024,,IQSS
ea73f782-7763-4e80-854d-5163dbe0e19f,c50630de-6eee-49f8-aa40-d4336754718d,,,,,,,,DI,,Facultatif,Oui,2024,,IQSS
ea73f782-7763-4e80-854d-5163dbe0e19f,277023ba-366f-4d96-a899-99feaf9bfe6d,,,,,,,,DI,,Facultatif,Oui,2024,,IQSS
da40b8e9-d014-4b23-a7fb-8a71ac99569d,4679c5b9-9128-47ca-a0a1-f84807c8f968,73.07,76.82,76.49,75.64,79.93,63.65,60.93,B,Non calculable,Facultatif,Oui,2024,,IQSS
da40b8e9-d014-4b23-a7fb-8a71ac99569d,7caa52a2-1011-4b92-966f-f2a9c5438305,73.07,76.82,76.49,75.64,79.93,63.65,60.93,B,Non calculable,Facultatif,Oui,2024,,IQSS
fdeaac91-0a20-496d-bb5a-1b0268059c87,c4e845cd-5dff-46f2-83c5-873596cb2d7b,77.42,78.07,84.41,80.46,79.27,69.21,67.85,A,Stable,Obligatoire,Oui,2024,,IQSS
fdeaac91-0a20-496d-bb5a-1b0268059c87,71a0f3b9-7b71-447b-8486-daede4f005b5,77.42,78.07,84.41,80.46,79.27,69.21,67.85,A,Stable,Obligatoire,Oui,2024,,IQSS
e4f07967-32bf-4255-acdd-c775c16f6c3e,80ab20df-aa94-4ca9-9b06-f2b6086637b1,,,,,,,,DI,,Facultatif,Oui,2024,,IQSS
e4f07967-32bf-4255-acdd-c775c16f6c3e,486beac8-7b54-4f4c-9b9c-e264dd2208cf,,,,,,,,DI,,Facultatif,Oui,2024,,IQSS
